TRANSACTION_DATE,TRANSACTION_VOLUME
2016-01-08 00:00:00.000,10916
2016-01-09 00:00:00.000,11774
2016-01-10 00:00:00.000,10320
2016-01-11 00:00:00.000,10890
2016-01-12 00:00:00.000,10860
2016-01-13 00:00:00.000,16158
2016-01-14 00:00:00.000,10648
2016-01-15 00:00:00.000,9868
2016-01-16 00:00:00.000,10660
2016-01-17 00:00:00.000,9743
2016-01-18 00:00:00.000,12916
2016-01-19 00:00:00.000,13416
2016-01-20 00:00:00.000,10609
2016-01-21 00:00:00.000,10728
2016-01-22 00:00:00.000,13845
2016-01-23 00:00:00.000,11020
2016-01-24 00:00:00.000,12793
2016-01-25 00:00:00.000,17111
2016-01-26 00:00:00.000,16508
2016-01-27 00:00:00.000,18727
2016-01-28 00:00:00.000,16754
2016-01-29 00:00:00.000,16381
2016-01-30 00:00:00.000,14648
2016-01-31 00:00:00.000,14163
2016-02-01 00:00:00.000,14187
2016-02-02 00:00:00.000,14279
2016-02-03 00:00:00.000,14269
2016-02-04 00:00:00.000,14371
2016-02-05 00:00:00.000,15246
2016-02-06 00:00:00.000,31399
2016-02-07 00:00:00.000,14260
2016-02-08 00:00:00.000,14704
2016-02-09 00:00:00.000,15515
2016-02-10 00:00:00.000,17128
2016-02-11 00:00:00.000,21425
2016-02-12 00:00:00.000,18089
2016-02-13 00:00:00.000,19322
2016-02-14 00:00:00.000,16617
2016-02-15 00:00:00.000,17148
2016-02-16 00:00:00.000,17522
2016-02-17 00:00:00.000,19943
2016-02-18 00:00:00.000,16939
2016-02-19 00:00:00.000,18386
2016-02-20 00:00:00.000,16680
2016-02-21 00:00:00.000,17102
2016-02-22 00:00:00.000,18160
2016-02-23 00:00:00.000,18078
2016-02-24 00:00:00.000,18840
2016-02-25 00:00:00.000,19486
2016-02-26 00:00:00.000,21036
2016-02-27 00:00:00.000,18957
2016-02-28 00:00:00.000,19037
2016-02-29 00:00:00.000,20331
2016-03-01 00:00:00.000,21757
2016-03-02 00:00:00.000,23547
2016-03-03 00:00:00.000,24813
2016-03-04 00:00:00.000,24274
2016-03-05 00:00:00.000,27101
2016-03-06 00:00:00.000,27646
2016-03-07 00:00:00.000,23256
2016-03-08 00:00:00.000,24094
2016-03-09 00:00:00.000,24549
2016-03-10 00:00:00.000,24781
2016-03-11 00:00:00.000,23104
2016-03-12 00:00:00.000,27784
2016-03-13 00:00:00.000,28101
2016-03-14 00:00:00.000,28516
2016-03-15 00:00:00.000,29227
2016-03-16 00:00:00.000,27555
2016-03-17 00:00:00.000,33507
2016-03-18 00:00:00.000,31797
2016-03-19 00:00:00.000,34762
2016-03-20 00:00:00.000,32429
2016-03-21 00:00:00.000,32494
2016-03-22 00:00:00.000,32858
2016-03-23 00:00:00.000,31764
2016-03-24 00:00:00.000,36919
2016-03-25 00:00:00.000,36737
2016-03-26 00:00:00.000,36606
2016-03-27 00:00:00.000,29950
2016-03-28 00:00:00.000,33572
2016-03-29 00:00:00.000,33835
2016-03-30 00:00:00.000,36498
2016-03-31 00:00:00.000,32224
2016-04-01 00:00:00.000,33286
2016-04-02 00:00:00.000,29332
2016-04-03 00:00:00.000,29577
2016-04-04 00:00:00.000,34527
2016-04-05 00:00:00.000,39098
2016-04-06 00:00:00.000,31764
2016-04-07 00:00:00.000,31819
2016-04-08 00:00:00.000,33992
2016-04-09 00:00:00.000,31903
2016-04-10 00:00:00.000,32226
2016-04-11 00:00:00.000,30319
2016-04-12 00:00:00.000,34664
2016-04-13 00:00:00.000,35614
2016-04-14 00:00:00.000,34763
2016-04-15 00:00:00.000,34939
2016-04-16 00:00:00.000,30475
2016-04-17 00:00:00.000,40186
2016-04-18 00:00:00.000,33478
2016-04-19 00:00:00.000,32615
2016-04-20 00:00:00.000,32916
2016-04-21 00:00:00.000,37171
2016-04-22 00:00:00.000,31637
2016-04-23 00:00:00.000,31836
2016-04-24 00:00:00.000,34030
2016-04-25 00:00:00.000,35395
2016-04-26 00:00:00.000,32328
2016-04-27 00:00:00.000,33267
2016-04-28 00:00:00.000,33432
2016-04-29 00:00:00.000,36109
2016-04-30 00:00:00.000,44323
2016-05-01 00:00:00.000,38305
2016-05-02 00:00:00.000,41263
2016-05-03 00:00:00.000,37617
2016-05-04 00:00:00.000,37335
2016-05-05 00:00:00.000,37136
2016-05-06 00:00:00.000,40307
2016-05-07 00:00:00.000,35647
2016-05-08 00:00:00.000,39894
2016-05-09 00:00:00.000,38284
2016-05-10 00:00:00.000,40373
2016-05-11 00:00:00.000,40476
2016-05-12 00:00:00.000,44523
2016-05-13 00:00:00.000,47127
2016-05-14 00:00:00.000,45186
2016-05-15 00:00:00.000,42802
2016-05-16 00:00:00.000,37193
2016-05-17 00:00:00.000,40046
2016-05-18 00:00:00.000,45784
2016-05-19 00:00:00.000,44309
2016-05-20 00:00:00.000,44907
2016-05-21 00:00:00.000,43406
2016-05-22 00:00:00.000,38740
2016-05-23 00:00:00.000,43516
2016-05-24 00:00:00.000,42703
2016-05-25 00:00:00.000,46196
2016-05-26 00:00:00.000,50837
2016-05-27 00:00:00.000,48413
2016-05-28 00:00:00.000,69221
2016-05-29 00:00:00.000,45338
2016-05-30 00:00:00.000,42529
2016-05-31 00:00:00.000,44119
2016-06-01 00:00:00.000,42064
2016-06-02 00:00:00.000,39563
2016-06-03 00:00:00.000,39679
2016-06-04 00:00:00.000,37753
2016-06-05 00:00:00.000,37728
2016-06-06 00:00:00.000,38870
2016-06-07 00:00:00.000,45983
2016-06-08 00:00:00.000,40247
2016-06-09 00:00:00.000,39693
2016-06-10 00:00:00.000,39994
2016-06-11 00:00:00.000,36798
2016-06-12 00:00:00.000,42472
2016-06-13 00:00:00.000,46033
2016-06-14 00:00:00.000,49930
2016-06-15 00:00:00.000,42879
2016-06-16 00:00:00.000,43306
2016-06-17 00:00:00.000,66089
2016-06-18 00:00:00.000,62637
2016-06-19 00:00:00.000,50934
2016-06-20 00:00:00.000,46956
2016-06-21 00:00:00.000,47028
2016-06-22 00:00:00.000,48340
2016-06-23 00:00:00.000,41669
2016-06-24 00:00:00.000,45171
2016-06-25 00:00:00.000,36586
2016-06-26 00:00:00.000,41571
2016-06-27 00:00:00.000,39574
2016-06-28 00:00:00.000,42998
2016-06-29 00:00:00.000,49811
2016-06-30 00:00:00.000,63841
2016-07-01 00:00:00.000,40035
2016-07-02 00:00:00.000,39238
2016-07-03 00:00:00.000,39653
2016-07-04 00:00:00.000,39912
2016-07-05 00:00:00.000,39216
2016-07-06 00:00:00.000,37860
2016-07-07 00:00:00.000,40364
2016-07-08 00:00:00.000,42426
2016-07-09 00:00:00.000,40265
2016-07-10 00:00:00.000,39289
2016-07-11 00:00:00.000,38491
2016-07-12 00:00:00.000,40762
2016-07-13 00:00:00.000,35696
2016-07-14 00:00:00.000,42780
2016-07-15 00:00:00.000,41048
2016-07-16 00:00:00.000,38002
2016-07-17 00:00:00.000,33904
2016-07-18 00:00:00.000,39152
2016-07-19 00:00:00.000,44155
2016-07-20 00:00:00.000,50399
2016-07-21 00:00:00.000,44736
2016-07-22 00:00:00.000,48307
2016-07-23 00:00:00.000,44859
2016-07-24 00:00:00.000,58023
2016-07-25 00:00:00.000,54626
2016-07-26 00:00:00.000,61722
2016-07-27 00:00:00.000,52791
2016-07-28 00:00:00.000,48225
2016-07-29 00:00:00.000,47093
2016-07-30 00:00:00.000,41898
2016-07-31 00:00:00.000,48649
2016-08-01 00:00:00.000,45129
2016-08-02 00:00:00.000,48885
2016-08-03 00:00:00.000,49334
2016-08-04 00:00:00.000,46670
2016-08-05 00:00:00.000,43149
2016-08-06 00:00:00.000,41437
2016-08-07 00:00:00.000,42897
2016-08-08 00:00:00.000,42892
2016-08-09 00:00:00.000,46953
2016-08-10 00:00:00.000,46226
2016-08-11 00:00:00.000,48117
2016-08-12 00:00:00.000,44351
2016-08-13 00:00:00.000,41027
2016-08-14 00:00:00.000,40530
2016-08-15 00:00:00.000,42229
2016-08-16 00:00:00.000,48870
2016-08-17 00:00:00.000,44761
2016-08-18 00:00:00.000,47506
2016-08-19 00:00:00.000,42777
2016-08-20 00:00:00.000,41183
2016-08-21 00:00:00.000,42399
2016-08-22 00:00:00.000,44094
2016-08-23 00:00:00.000,48330
2016-08-24 00:00:00.000,46755
2016-08-25 00:00:00.000,49714
2016-08-26 00:00:00.000,47075
2016-08-27 00:00:00.000,47777
2016-08-28 00:00:00.000,42425
2016-08-29 00:00:00.000,45288
2016-08-30 00:00:00.000,46735
2016-08-31 00:00:00.000,45581
2016-09-01 00:00:00.000,47204
2016-09-02 00:00:00.000,54718
2016-09-03 00:00:00.000,44638
2016-09-04 00:00:00.000,47990
2016-09-05 00:00:00.000,42507
2016-09-06 00:00:00.000,48736
2016-09-07 00:00:00.000,48438
2016-09-08 00:00:00.000,55689
2016-09-09 00:00:00.000,53145
2016-09-10 00:00:00.000,42735
2016-09-11 00:00:00.000,43115
2016-09-12 00:00:00.000,44905
2016-09-13 00:00:00.000,42417
2016-09-14 00:00:00.000,53699
2016-09-15 00:00:00.000,52323
2016-09-16 00:00:00.000,56731
2016-09-17 00:00:00.000,46273
2016-09-18 00:00:00.000,37294
2016-09-19 00:00:00.000,40442
2016-09-20 00:00:00.000,53971
2016-09-21 00:00:00.000,44431
2016-09-22 00:00:00.000,52274
2016-09-23 00:00:00.000,34292
2016-09-24 00:00:00.000,38576
2016-09-25 00:00:00.000,37724
2016-09-26 00:00:00.000,42456
2016-09-27 00:00:00.000,45150
2016-09-28 00:00:00.000,42587
2016-09-29 00:00:00.000,40308
2016-09-30 00:00:00.000,35560
2016-10-01 00:00:00.000,45591
2016-10-02 00:00:00.000,43641
2016-10-03 00:00:00.000,46567
2016-10-04 00:00:00.000,56009
2016-10-05 00:00:00.000,39923
2016-10-06 00:00:00.000,36399
2016-10-07 00:00:00.000,42503
2016-10-08 00:00:00.000,36217
2016-10-09 00:00:00.000,42574
2016-10-10 00:00:00.000,44095
2016-10-11 00:00:00.000,40883
2016-10-12 00:00:00.000,29932
2016-10-13 00:00:00.000,32229
2016-10-14 00:00:00.000,41639
2016-10-15 00:00:00.000,24619
2016-10-16 00:00:00.000,34683
2016-10-17 00:00:00.000,37704
2016-10-18 00:00:00.000,50652
2016-10-19 00:00:00.000,30081
2016-10-20 00:00:00.000,40782
2016-10-21 00:00:00.000,57644
2016-10-22 00:00:00.000,37680
2016-10-23 00:00:00.000,35250
2016-10-24 00:00:00.000,52392
2016-10-25 00:00:00.000,47406
2016-10-26 00:00:00.000,45068
2016-10-27 00:00:00.000,44021
2016-10-28 00:00:00.000,41423
2016-10-29 00:00:00.000,39896
2016-10-30 00:00:00.000,39309
2016-10-31 00:00:00.000,44895
2016-11-01 00:00:00.000,48667
2016-11-02 00:00:00.000,43429
2016-11-03 00:00:00.000,42255
2016-11-04 00:00:00.000,32510
2016-11-05 00:00:00.000,37616
2016-11-06 00:00:00.000,34311
2016-11-07 00:00:00.000,41897
2016-11-08 00:00:00.000,41483
2016-11-09 00:00:00.000,40241
2016-11-10 00:00:00.000,39630
2016-11-11 00:00:00.000,40049
2016-11-12 00:00:00.000,40353
2016-11-13 00:00:00.000,43084
2016-11-14 00:00:00.000,43353
2016-11-15 00:00:00.000,44754
2016-11-16 00:00:00.000,41172
2016-11-17 00:00:00.000,40207
2016-11-18 00:00:00.000,43213
2016-11-19 00:00:00.000,38696
2016-11-20 00:00:00.000,41458
2016-11-21 00:00:00.000,42088
2016-11-22 00:00:00.000,52890
2016-11-23 00:00:00.000,63803
