TRANSACTION_DATE,TRANSACTION_VOLUME,TRANSACTION_VALUE,ACTIVE_WALLETS,TOTAL_GAS_FEES
2015-10-28 00:00:00.000,7340,976137.761683128,1167,10.88854663
2015-10-29 00:00:00.000,7780,517732.066061671,1269,11.673203722
2015-10-30 00:00:00.000,7909,1209372.46419774,1315,11.41291756
2015-10-31 00:00:00.000,7522,276417.565732628,1222,13.837925501
2015-11-01 00:00:00.000,6893,145524.373663244,1157,14.506280241
2015-11-02 00:00:00.000,6543,351730.655255812,1332,10.294184073
2015-11-03 00:00:00.000,7393,594722.046575306,1248,12.12806629
2015-11-04 00:00:00.000,7033,805279.280973941,1241,9.082856951
2015-11-05 00:00:00.000,7488,344177.214608943,1288,10.116220195
2015-11-06 00:00:00.000,7874,938176.632527115,1241,15.873919864
2015-11-07 00:00:00.000,10975,425968.41911174,1176,30.801097316
2015-11-08 00:00:00.000,12394,896689.215294887,1187,28.688378882
2015-11-09 00:00:00.000,7688,946972.71867527,1342,11.258602919
2015-11-10 00:00:00.000,8142,891132.500979902,1270,14.743692628
2015-11-11 00:00:00.000,10217,301403.980114451,1260,23.076791328
2015-11-12 00:00:00.000,9368,280928.179735407,1214,20.875174447
2015-11-13 00:00:00.000,7886,466110.030537512,1194,14.339752465
2015-11-14 00:00:00.000,7206,283612.91365512,1240,18.426322956
2015-11-15 00:00:00.000,7166,175558.320997262,1219,11.479774093
2015-11-16 00:00:00.000,7436,435418.166968016,1269,10.106395683
2015-11-17 00:00:00.000,7145,1157255.45040565,1306,9.596829651
2015-11-18 00:00:00.000,7363,199011.474775912,1304,9.421475397
2015-11-19 00:00:00.000,8872,274429.080972597,1280,15.857789514
2015-11-20 00:00:00.000,6347,194574.871310497,1068,11.961899242
2015-11-21 00:00:00.000,6820,134094.469887511,1097,11.240199954
2015-11-22 00:00:00.000,7083,256032.711626261,1027,11.241715326
2015-11-23 00:00:00.000,8260,684591.954121512,1137,13.316084718
2015-11-24 00:00:00.000,7149,393637.373376515,1127,12.951441027
2015-11-25 00:00:00.000,7097,188350.230413913,1123,12.369630992
2015-11-26 00:00:00.000,7278,970682.711394449,1140,9.30701048
2015-11-27 00:00:00.000,6639,679065.032408979,1030,9.399192619
2015-11-28 00:00:00.000,6792,120693.887101131,1047,12.089263074
2015-11-29 00:00:00.000,6849,190336.976667643,1078,9.066792117
2015-11-30 00:00:00.000,8957,235620.560090737,1006,18.913751538
2015-12-01 00:00:00.000,6782,223148.369114905,982,12.433388945
2015-12-02 00:00:00.000,6496,294731.526395479,938,10.988122532
2015-12-03 00:00:00.000,6946,221298.544527577,1000,9.964077605
2015-12-04 00:00:00.000,6878,167907.655393457,965,12.298767172
2015-12-05 00:00:00.000,6772,143940.210610472,994,12.607852915
2015-12-06 00:00:00.000,9080,239342.898590542,1312,16.538421373
2015-12-07 00:00:00.000,7138,451666.833938128,1290,9.639622252
2015-12-08 00:00:00.000,6690,177343.55918142,1119,9.034714394
2015-12-09 00:00:00.000,7000,245115.583052414,1107,10.133989433
2015-12-10 00:00:00.000,7416,216567.822794706,1093,11.084102221
2015-12-11 00:00:00.000,8097,319138.868639405,1133,16.834011381
2015-12-12 00:00:00.000,8202,484608.036134611,1510,23.114993176
2015-12-13 00:00:00.000,7411,323458.149910188,1287,18.341256992
2015-12-14 00:00:00.000,15525,308723.049453244,1511,74.53457053
2015-12-15 00:00:00.000,20359,535185.626197708,1487,110.339507149
2015-12-16 00:00:00.000,10294,1458676.34332943,1494,43.832853725
2015-12-17 00:00:00.000,9599,439455.245376793,1672,31.030528501
2015-12-18 00:00:00.000,9029,237303.591429362,1479,32.173158005
2015-12-19 00:00:00.000,9273,227869.063826137,1532,28.029482626
2015-12-20 00:00:00.000,9591,205492.248482464,1493,30.726536222
2015-12-21 00:00:00.000,12061,234198.553986808,1569,39.116231798
2015-12-22 00:00:00.000,21023,237640.766144545,1580,59.140854714
2015-12-23 00:00:00.000,22737,143436.890017948,1494,81.418475846
2015-12-24 00:00:00.000,13492,125579.854961545,1492,45.752337863
2015-12-25 00:00:00.000,9519,68607.36932893,1434,26.591559297
2015-12-26 00:00:00.000,10722,145239.877462704,1499,31.137313588
2015-12-27 00:00:00.000,21864,79394.409217925,1445,86.616245029
2015-12-28 00:00:00.000,12362,441950.57705337,1618,36.072932865
2015-12-29 00:00:00.000,11349,286251.401708103,1557,33.11081105
2015-12-30 00:00:00.000,21672,215186.658638634,1469,75.711098123
2015-12-31 00:00:00.000,10301,389547.036171491,1712,25.067324647
2016-01-01 00:00:00.000,8232,344547.756629631,1536,15.635294937
2016-01-02 00:00:00.000,9164,259240.009990057,1619,19.359790812
2016-01-03 00:00:00.000,9258,370819.993497967,1618,19.448316682
2016-01-04 00:00:00.000,9469,154125.471932754,1628,21.244895546
2016-01-05 00:00:00.000,16424,1036290.68490783,1630,60.305366604
2016-01-06 00:00:00.000,17059,261874.023822953,1677,66.461279685
2016-01-07 00:00:00.000,22063,350229.829059073,1728,65.432362592
2016-01-08 00:00:00.000,10916,196293.490596427,1646,26.046357545
2016-01-09 00:00:00.000,11774,210778.67218016,1684,39.045017521
2016-01-10 00:00:00.000,10320,140901.897458439,1842,26.326052773
2016-01-11 00:00:00.000,10890,504557.522698113,1873,25.492315113
2016-01-12 00:00:00.000,10860,990456.554165314,1998,25.625728517
2016-01-13 00:00:00.000,16158,423225.742643984,1772,50.8142648
2016-01-14 00:00:00.000,10648,332499.048194957,1726,26.737626405
2016-01-15 00:00:00.000,9868,945377.774737417,1967,23.078624218
2016-01-16 00:00:00.000,10660,571216.783425056,1545,22.594348307
2016-01-17 00:00:00.000,9743,370955.278528445,1433,17.007278027
2016-01-18 00:00:00.000,12916,2265938.49687015,1665,30.91880998
2016-01-19 00:00:00.000,13416,1240725.36949413,1546,35.540908228
2016-01-20 00:00:00.000,10609,600167.315802932,2036,19.00299187
2016-01-21 00:00:00.000,10728,495019.11781695,1544,20.269432016
2016-01-22 00:00:00.000,13845,919024.766130984,1598,31.096325075
2016-01-23 00:00:00.000,11020,1143830.4459195,1878,17.420895511
2016-01-24 00:00:00.000,12793,1920494.2835564,2112,23.723743577
2016-01-25 00:00:00.000,17111,2139382.51947006,2225,40.171008638
2016-01-26 00:00:00.000,16508,1445111.57180414,2348,37.894846098
2016-01-27 00:00:00.000,18727,1177769.5759312,2079,55.447493691
2016-01-28 00:00:00.000,16754,921917.806347817,2089,41.338061041
2016-01-29 00:00:00.000,16381,863480.324027793,2019,37.384371727
2016-01-30 00:00:00.000,14648,989806.247163256,1992,35.234482168
2016-01-31 00:00:00.000,14163,1095129.17356854,2100,33.865869367
